Ticker,Signal Time,Entry Time,Exit Time,Entry Price,Exit Price,Initial Stop,Final Stop,R Result,Moved BE,Score,Entry Date
AMD,2026-06-17 12:30:00-04:00,2026-06-17 14:30:00-04:00,2026-06-17 15:30:00-04:00,525.4000244140625,519.5721034928264,515.208400057554,519.5721034928264,-0.5718343531288316,False,174.33169130122826,2026-06-17
AMD,2026-05-20 12:30:00-04:00,2026-05-20 14:30:00-04:00,2026-05-21 09:30:00-04:00,446.54998779296875,436.2355134385267,436.2355134385267,436.2355134385267,-1.0,False,123.59443267645334,2026-05-20
QCOM,2026-06-02 14:30:00-04:00,2026-06-03 09:30:00-04:00,2026-06-04 09:30:00-04:00,243.97999572753906,244.99893457472032,238.2644222983596,244.99893457472032,0.17827412416387084,True,85.77861246543493,2026-06-03
FTNT,2026-06-11 10:30:00-04:00,2026-06-11 13:30:00-04:00,2026-06-12 09:30:00-04:00,144.9199981689453,142.73423505092558,142.73423505092558,142.73423505092558,-1.0000000000000007,False,84.54976584358096,2026-06-11
MU,2026-05-20 14:30:00-04:00,2026-05-21 09:30:00-04:00,2026-06-04 09:30:00-04:00,734.0,1043.6897131346175,715.228306823095,1043.6897131346175,16.49769736891026,True,77.42302144858866,2026-05-21
KLAC,2026-06-08 11:30:00-04:00,2026-06-09 09:30:00-04:00,2026-06-09 10:30:00-04:00,213.52099609375,213.52099609375,208.92362342328263,213.52099609375,0.0,True,54.99404746016068,2026-06-09
GOOGL,2026-05-14 11:30:00-04:00,2026-05-14 13:30:00-04:00,2026-05-15 09:30:00-04:00,402.2998046875,398.937146615514,398.937146615514,398.937146615514,-1.000000000000003,False,50.2977330476335,2026-05-14
AMZN,2026-05-13 12:30:00-04:00,2026-05-13 15:30:00-04:00,2026-05-14 09:30:00-04:00,270.39959716796875,268.58767643603943,268.41295835347876,268.58767643603943,-0.912053423457593,False,50.25284444297234,2026-05-13
AVGO,2026-05-01 09:30:00-04:00,2026-05-01 13:30:00-04:00,2026-05-04 09:30:00-04:00,422.1698913574219,417.43025433695334,417.43025433695334,417.43025433695334,-0.9999999999999983,False,45.99758770188534,2026-05-01
GOOGL,2026-05-27 09:30:00-04:00,2026-05-27 12:30:00-04:00,2026-05-27 15:30:00-04:00,392.8399963378906,389.82811328201626,389.82811328201626,389.82811328201626,-0.9999999999999977,False,44.282522361270594,2026-05-27
ADI,2026-04-30 11:30:00-04:00,2026-04-30 13:30:00-04:00,2026-05-01 09:30:00-04:00,401.2650146484375,397.40432013509457,397.40432013509457,397.40432013509457,-0.9999999999999986,False,42.155626811113336,2026-04-30
AMAT,2026-05-01 14:30:00-04:00,2026-05-04 09:30:00-04:00,2026-05-04 10:30:00-04:00,391.94000244140625,390.9828297681924,387.5026390142937,390.9828297681924,-0.21570752293252896,False,37.390785948810546,2026-05-04
LRCX,2026-04-22 12:30:00-04:00,2026-04-22 14:30:00-04:00,2026-04-23 09:30:00-04:00,264.70001220703125,264.70001220703125,261.72508415798137,264.70001220703125,0.0,True,33.126667458145235,2026-04-22
CSCO,2026-04-29 11:30:00-04:00,2026-04-29 14:30:00-04:00,2026-05-06 09:30:00-04:00,89.08000183105469,93.04896380633312,88.34944123848632,93.04896380633312,5.432762204330098,True,30.005067904607444,2026-04-29
SBUX,2026-05-12 10:30:00-04:00,2026-05-12 12:30:00-04:00,2026-05-12 13:30:00-04:00,106.69000244140625,105.88182868987953,105.73918886011086,105.88182868987953,-0.8499812870001956,False,28.417921857100886,2026-05-12
